variant,1,3,5,7,10,14
pool+VSin,0.9191,0.7775,0.6964,0.6409,0.5104,0.4473
pool만 (기준),0.9065,0.7339,0.6155,0.5526,0.3753,0.2741
pool+온도·VFA·COD (기존),-0.931,-4.8754,-9.9138,-11.0705,-20.3783,-30.2406
pool+VSin·VFAALK·유량,-5.4884,-10.5041,-12.7458,-32.0372,-25.9653,-52.0925
pool+VSin·VFAALK,-1.4982,-4.1815,-5.2172,-15.1116,-13.8171,-30.0598
pool+VFAALK,-2.9186,-6.6045,-7.9263,-22.2308,-19.2407,-40.5946
VSin·VFAALK·유량 (pool 제외),-8.8741,-15.9581,-19.0684,-44.475,-33.5461,-62.8646
persistence,0.9221,0.7991,0.6674,0.5951,0.423,0.2809
