target,variant,h,R2,persistence
biogas,유량pool (기준),1,0.9270309887076468,0.9224692524895667
biogas,유량pool (기준),3,0.7580396053347769,0.7342110076983102
biogas,유량pool (기준),7,0.48496671060171215,0.4440430686633231
biogas,유량pool (기준),14,-0.0022380822216205853,0.1149525032479829
biogas,+이화학 편차,1,0.9231252350602379,0.9224692524895667
biogas,+이화학 편차,3,0.7169158847674666,0.7342110076983102
biogas,+이화학 편차,7,0.2913208212839652,0.4440430686633231
biogas,+이화학 편차,14,-0.44982397796937,0.1149525032479829
biogas,+VFA/Alk 비율,1,0.9141416116983951,0.9224692524895667
biogas,+VFA/Alk 비율,3,0.6397301111791077,0.7342110076983102
biogas,+VFA/Alk 비율,7,0.028101383700609883,0.4440430686633231
biogas,+VFA/Alk 비율,14,-1.0833410960517558,0.1149525032479829
biogas,+VSin 편차,1,0.9120080000035402,0.9224692524895667
biogas,+VSin 편차,3,0.7251124265415354,0.7342110076983102
biogas,+VSin 편차,7,0.3870064231848517,0.4440430686633231
biogas,+VSin 편차,14,-0.12089689312250451,0.1149525032479829
biogas,+VSin SURGE,1,0.9258671856976838,0.9224692524895667
biogas,+VSin SURGE,3,0.7457861429772714,0.7342110076983102
biogas,+VSin SURGE,7,0.4384848482896416,0.4440430686633231
biogas,+VSin SURGE,14,-0.10334312786614697,0.1149525032479829
biogas,+투입 SURGE,1,0.9255152140901912,0.9224692524895667
biogas,+투입 SURGE,3,0.7482985646990523,0.7342110076983102
biogas,+투입 SURGE,7,0.46132053374950854,0.4440430686633231
biogas,+투입 SURGE,14,-0.0537946476553528,0.1149525032479829
biogas,+VSin SURGE+이화학 편차,1,0.9218148495549214,0.9224692524895667
biogas,+VSin SURGE+이화학 편차,3,0.6993001888966495,0.7342110076983102
biogas,+VSin SURGE+이화학 편차,7,0.2381679150987075,0.4440430686633231
biogas,+VSin SURGE+이화학 편차,14,-0.5125308687362395,0.1149525032479829
methane,유량pool (기준),1,0.9068975609401597,0.8988987309704498
methane,유량pool (기준),3,0.7571227632731237,0.6956639279301453
methane,유량pool (기준),7,0.4884649968495156,0.44987005941441705
methane,유량pool (기준),14,-0.09435829494982051,0.07671495465539546
methane,+이화학 편차,1,0.8517768860319016,0.8988987309704498
methane,+이화학 편차,3,0.663287255753868,0.6956639279301453
methane,+이화학 편차,7,0.2259402813031729,0.44987005941441705
methane,+이화학 편차,14,-0.6628854723293451,0.07671495465539546
methane,+VFA/Alk 비율,1,0.8769967194086816,0.8988987309704498
methane,+VFA/Alk 비율,3,0.6299532727203321,0.6956639279301453
methane,+VFA/Alk 비율,7,0.19570272043899584,0.44987005941441705
methane,+VFA/Alk 비율,14,-0.6966705288219157,0.07671495465539546
methane,+VSin 편차,1,0.9094734467976189,0.8988987309704498
methane,+VSin 편차,3,0.7568691126326353,0.6956639279301453
methane,+VSin 편차,7,0.48259361880965557,0.44987005941441705
methane,+VSin 편차,14,-0.08321115642978616,0.07671495465539546
methane,+VSin SURGE,1,0.8990845966151865,0.8988987309704498
methane,+VSin SURGE,3,0.7369630006950691,0.6956639279301453
methane,+VSin SURGE,7,0.4434208802468741,0.44987005941441705
methane,+VSin SURGE,14,-0.19083336775255955,0.07671495465539546
methane,+투입 SURGE,1,0.9006799682935306,0.8988987309704498
methane,+투입 SURGE,3,0.7308245162509223,0.6956639279301453
methane,+투입 SURGE,7,0.4262946569037347,0.44987005941441705
methane,+투입 SURGE,14,-0.20255563619630523,0.07671495465539546
methane,+VSin SURGE+이화학 편차,1,0.8391166817317273,0.8988987309704498
methane,+VSin SURGE+이화학 편차,3,0.638956188577379,0.6956639279301453
methane,+VSin SURGE+이화학 편차,7,0.1906420897249086,0.44987005941441705
methane,+VSin SURGE+이화학 편차,14,-0.7160524777327006,0.07671495465539546
