fold,train_end,test_start,test_end,R2,RMSE,MAE,n
1,2019-12-31,2020-01-01,2020-06-28,0.7960369389125144,630.0898646112994,392.6811114564906,119
2,2020-06-28,2020-06-29,2020-12-25,0.8801410049253139,344.7990229747069,252.66221890836337,116
3,2020-12-25,2020-12-26,2021-06-24,0.8818042765212912,266.8429764506969,205.01140310121667,106
4,2021-06-24,2021-06-25,2021-12-21,0.8752659561705378,368.9636082533199,249.4708895595633,112
5,2021-12-21,2021-12-22,2022-06-19,0.9162751155372845,320.31242583572197,252.02347852180603,111
6,2022-06-19,2022-06-20,2022-12-16,0.8978086673817243,301.6822343454321,235.95189840528803,108
7,2022-12-16,2022-12-17,2023-06-14,0.8778063291147017,359.59333520770076,254.38860992651567,104
8,2023-06-14,2023-06-15,2023-12-11,0.8188735155859123,341.3059894358045,258.00137774195775,59
