date,year,Y_COD,A1_dev_pct,A2,A3_z,FAN_A_mgL,A4_FAN_ratio,n_acute,acute_grade,C1_burden_sm,chronic_phase
2018-01-01,2018,,,False,,,,0,정상,,
2018-01-02,2018,,,False,,241.902635,,0,정상,,
2018-01-03,2018,,,False,,,,0,정상,,
2018-01-04,2018,,,False,,,,0,정상,,
2018-01-05,2018,,,False,,,,0,정상,,
2018-01-06,2018,,,False,,,,0,정상,,
2018-01-07,2018,,,False,,,,0,정상,,
2018-01-08,2018,,,False,,278.115118,,0,정상,,
2018-01-09,2018,,,False,,,,0,정상,,
2018-01-10,2018,,,False,,,,0,정상,,
2018-01-11,2018,,,False,,,,0,정상,,
2018-01-12,2018,,,False,,,,0,정상,,
2018-01-13,2018,,,False,,,,0,정상,,
2018-01-14,2018,,,False,,,,0,정상,,
2018-01-15,2018,,,False,,312.628022,,0,정상,1.9810838445807777,정상
2018-01-16,2018,,,False,,,,0,정상,1.7254601226993849,정상
2018-01-17,2018,,,False,,,,0,정상,1.6296012269938598,정상
2018-01-18,2018,,,False,,,,0,정상,1.5337423312883347,정상
2018-01-19,2018,,,False,,,,0,정상,1.5337423312883347,정상
2018-01-20,2018,,,False,,,,0,정상,1.5337423312883347,정상
2018-01-21,2018,,,False,,,,0,정상,1.5337423312883347,정상
2018-01-22,2018,,,False,,298.653485,,0,정상,1.469836400817992,정상
2018-01-23,2018,,,False,,,,0,정상,1.4059304703476494,정상
2018-01-24,2018,,,False,,,,0,정상,1.469836400817992,정상
2018-01-25,2018,,,False,,,,0,정상,1.5337423312883347,정상
2018-01-26,2018,,,False,,,,0,정상,1.5337423312883347,정상
2018-01-27,2018,,,False,,,,0,정상,1.5337423312883347,정상
2018-01-28,2018,,,False,,,,0,정상,1.5337423312883347,정상
2018-01-29,2018,,,False,,262.543387,,0,정상,1.6296012269938598,정상
2018-01-30,2018,,,False,,,,0,정상,1.7254601226993849,정상
2018-01-31,2018,,,False,,,,0,정상,1.6296012269938598,정상
2018-02-01,2018,,,False,,,,0,정상,1.469836400817992,정상
2018-02-02,2018,,,False,,,,0,정상,1.5337423312883347,정상
2018-02-03,2018,,,False,,,,0,정상,1.6296012269938598,정상
2018-02-04,2018,,,False,,,,0,정상,1.6296012269938598,정상
2018-02-05,2018,,,False,,319.122422,,0,정상,1.5337423312883347,정상
2018-02-06,2018,,,False,,,,0,정상,1.4059304703476383,정상
2018-02-07,2018,,,False,0.5079264092602424,,,0,정상,1.182259713701428,정상
2018-02-08,2018,,,False,0.43204116483589083,,,0,정상,0.8307770961145211,정상
2018-02-09,2018,,,False,-0.3706417843280682,,,0,정상,1.086400817995914,정상
2018-02-10,2018,,,False,-0.512928975291205,,,0,정상,0.8307770961145211,정상
2018-02-11,2018,,,False,-2.10681210839045,,,0,정상,0.8307770961145211,정상
2018-02-12,2018,0.34973862382151927,,False,0.4418078748423705,221.389035,,0,정상,0.5751533742331283,정상
2018-02-13,2018,,,False,1.548315431482052,,,0,정상,0.543200408997957,정상
2018-02-14,2018,,,False,-0.8560450219561164,,,0,정상,0.4473415132924319,정상
2018-02-15,2018,,,False,-0.06730249404447648,,,0,정상,0.3834355828220781,정상
2018-02-16,2018,,,False,-1.7541243433756946,,,0,정상,0.09585889570551953,정상
2018-02-17,2018,,,False,0.3635596100376614,,,0,정상,-0.19171779141103906,정상
2018-02-18,2018,,,False,1.3187178023866095,,,0,정상,-0.19171779141103906,정상
2018-02-19,2018,,,False,-0.2353520226718194,259.064123,0.958328115082551,0,정상,-0.25562372188138727,정상
2018-02-20,2018,,,False,0.31229131711429636,,,0,정상,-0.31952965235173547,정상
2018-02-21,2018,,,False,0.2040690414600409,,,0,정상,-0.31952965235173547,정상
2018-02-22,2018,,,False,-0.6116355029110454,,,0,정상,-0.31952965235173547,정상
2018-02-23,2018,,,False,-0.08506826834523572,,,0,정상,-0.7029652351738247,정상
2018-02-24,2018,,,False,1.402916113990533,,,0,정상,-1.086400817995914,정상
2018-02-25,2018,,,False,-1.5611602791206804,,,0,정상,-1.086400817995914,정상
2018-02-26,2018,,,False,1.5522185895751766,,,0,정상,-1.3420245398773012,정상
2018-02-27,2018,,,False,0.8760133462649417,,,0,정상,-1.5976482617586885,정상
2018-02-28,2018,,,False,0.9494725221108208,,,0,정상,-1.6615541922290422,정상
2018-03-01,2018,,,False,1.2469406801085077,,,0,정상,-1.789366053169733,정상
2018-03-02,2018,,,False,0.31879302513454405,,,0,정상,-1.917177914110424,정상
2018-03-03,2018,,,False,0.6340229910350929,,,0,정상,-1.789366053169733,정상
2018-03-04,2018,,,False,0.3752244790644992,,,0,정상,-1.789366053169733,정상
2018-03-05,2018,,,False,1.7717841149146092,352.914976,1.2689528657697782,1,주의,-1.6615541922290422,정상
2018-03-06,2018,,,False,-0.7179035909034286,,,0,정상,-1.789366053169733,정상
2018-03-07,2018,,,False,1.2583219093147031,,,0,정상,-1.789366053169733,정상
2018-03-08,2018,,,False,0.5364300925396717,,,0,정상,-1.6296012269938653,정상
