date,methane_true,final_ensemble,sarimax,xgboost,randomforest,persistence_baseline
2023-01-02,6890.620500000001,6298.090983040379,6308.117607357166,6581.0474,6656.489977284888,6158.894
2023-01-03,7236.477000000001,6846.991109397933,6852.228717031289,6724.9873,6769.4341039919445,6890.620500000001
2023-01-04,7460.019,7081.66227953495,7084.852439745833,6705.196,6591.050755636302,7236.477000000001
2023-01-05,7534.86,7287.35131223646,7288.746886944617,6694.332,6610.711242091921,7460.019
2023-01-09,7597.401999999999,7485.180850982527,7484.850412312226,6994.7383,6944.101659969022,7534.86
2023-01-10,7333.806,7592.05013074226,7590.787284263799,7063.3105,7082.766568013948,7597.401999999999
2023-01-11,7280.251000000001,7396.461714042577,7396.90532771175,7074.035,7087.2435742055295,7333.806
2023-01-12,7444.04,7311.855709557462,7313.037489511432,7074.035,7069.8431363240925,7280.251000000001
2023-01-13,7500.262000000001,7406.378757439759,7406.735847379025,7101.2,7060.355244852683,7444.04
2023-01-16,7283.727,7418.796174886603,7419.044925956076,7221.2456,7107.15307242694,7500.262000000001
2023-01-17,7352.9665,7274.71748559462,7276.223287288812,7039.9014,6990.15657737145,7283.727
2023-01-18,7437.9335,7311.602578316642,7312.786566777546,7039.9014,6990.15657737145,7352.9665
2023-01-19,7478.928000000001,7380.961902612101,7381.540748269693,7042.9863,6985.678846670722,7437.9335
2023-01-20,7403.3925,7424.262373318303,7424.463433169962,7042.9863,6985.678846670722,7478.928000000001
2023-01-25,6531.1875,7295.0564867910025,7296.384835773169,7041.993,6981.192761206312,7403.3925
2023-01-27,7333.966499999999,6653.538183984448,6660.463620136649,7041.993,6981.192761206312,6531.1875
2023-01-30,8036.352999999999,7199.035042670534,7201.201154800819,7041.993,6981.192761206312,7333.966499999999
2023-01-31,8031.875,7881.594398073249,7877.805350086981,7041.993,6981.192761206312,8036.352999999999
2023-02-01,8040.1575,7928.358623544184,7924.16156935567,7041.993,6981.192761206312,8031.875
2023-02-02,7968.24,7869.949463742037,7866.262014903067,7029.423,6956.72740414939,8040.1575
2023-02-03,7853.79,7934.451996504359,7930.201779156713,7034.848,6986.746792141033,7968.24
2023-02-06,7391.95,7708.942796249079,7706.660090422074,6966.0117,7004.13739194379,7853.79
2023-02-08,7298.5315,7367.438715086624,7368.135547182117,7045.8525,7019.839658433183,7391.95
2023-02-09,7596.594500000001,7286.386343769107,7287.790337586437,7043.837,6982.704019542928,7298.5315
2023-02-13,6932.16,7409.60062290517,7409.92960287192,7043.837,6984.475969670323,7596.594500000001
2023-02-14,6955.826,6954.773742813625,6959.070973856004,7041.993,6981.192761206312,6932.16
2023-02-15,7149.736000000001,6959.623084039538,6963.878005789353,7041.993,6981.192761206312,6955.826
2023-02-16,6894.81,7103.520304656765,7106.519759050781,7041.993,6981.192761206312,7149.736000000001
2023-02-17,7137.768,6942.739096352333,6947.141326683133,7041.993,6981.192761206312,6894.81
2023-02-20,7321.4775,6996.87888155415,7000.80875576383,7023.184,6912.348922427641,7137.768
2023-02-21,6772.161,7159.4727577487665,7161.984040946477,6863.6367,6784.653669766881,7321.4775
2023-02-23,6873.635,6720.317818069784,6726.660618572272,6696.988,6512.687259821444,6772.161
2023-02-24,6549.918000000001,6698.860424844388,6705.390435750381,6450.9165,6314.873617745566,6873.635
2023-02-27,4976.063999999999,6414.986334815434,6423.993076346656,6394.078,6390.506576522508,6549.918000000001
2023-02-28,5058.197,5157.59534305843,5177.572507345936,6341.4062,6422.943977603398,4976.063999999999
2023-03-02,3828.472,4496.768109768983,4522.5108268285185,5037.9995,5335.424647440603,5058.197
2023-03-03,4498.098,4543.143430581677,4568.4815345351,6279.3325,6184.857666761602,3828.472
2023-03-06,5256.972000000001,4807.2561309961375,4830.289917519385,6261.6855,6266.10996304052,4498.098
2023-03-07,5985.727000000001,5264.357739954976,5283.403428960642,6204.293,6197.478659057902,5256.972000000001
2023-03-09,6444.75,5868.185919040738,5881.963357804312,6204.293,6197.478659057902,5985.727000000001
2023-03-10,5065.3275,6337.244853081634,6346.929869648951,6204.293,6197.478659057902,6444.75
2023-03-13,5430.778,5419.464514695341,5437.156935781624,6061.7627,6150.950060431709,5065.3275
2023-03-15,5968.616,5487.453649927851,5504.552882768613,5886.665,5807.778878636676,5430.778
2023-03-17,5407.612000000001,5781.887562311633,5796.417932711188,5576.2725,5562.154014014777,5968.616
2023-03-20,5240.147000000001,5456.208227638526,5473.5800689948255,5670.8467,5674.516958217461,5407.612000000001
2023-03-21,5025.0,5261.78227786281,5280.8504371328,5795.2793,5701.896949140452,5240.147000000001
2023-03-22,4990.5555,5085.616471001908,5106.2216329935145,5821.5576,5719.7209866946605,5025.0
2023-03-27,5193.204500000001,5214.152910489262,5233.636624108796,5910.427,5686.990738338617,4990.5555
2023-03-28,5509.656000000001,5292.7123857261,5311.510687520268,5922.6216,5684.108086495436,5193.204500000001
2023-03-29,5545.318500000001,5478.541899354049,5495.718884995598,5792.2495,5664.986900148239,5509.656000000001
2023-03-30,5623.477999999999,5539.096540283406,5555.7452017877495,5793.7036,5695.786591303631,5545.318500000001
2023-04-03,5175.1865,5645.622425763549,5661.341675489165,5795.2793,5694.872125597388,5623.477999999999
2023-04-04,5086.456,5244.306300910022,5263.526933719674,5795.2793,5694.872125597388,5175.1865
2023-04-06,4901.3325,5219.394986161933,5238.83296397882,5670.8467,5674.516958217461,5086.456
2023-04-07,4938.395,4994.133292679071,5015.536622581748,5670.8467,5674.516958217461,4901.3325
2023-04-10,5097.208,5123.002723383743,5143.281699649039,5670.8467,5674.516958217461,4938.395
2023-04-11,4985.7685,5138.36350340745,5158.508460698671,5670.8467,5674.516958217461,5097.208
2023-04-12,4749.625999999999,5062.898459726004,5083.701830699154,5670.8467,5674.516958217461,4985.7685
2023-04-17,4965.9885,5135.9405203674105,5156.106617581261,5670.8467,5674.516958217461,4749.625999999999
2023-04-18,4971.634499999999,5025.682479431094,5046.810550549069,5670.8467,5674.516958217461,4965.9885
2023-04-19,4969.521000000001,5031.463530497053,5052.541163386518,5670.8467,5674.516958217461,4971.634499999999
2023-04-20,5250.888000000001,5031.298290403216,5052.377364971281,5670.8467,5674.516958217461,4969.521000000001
2023-04-24,5689.74,5361.385970338591,5379.585112237128,5670.8467,5674.516958217461,5250.888000000001
2023-04-25,5470.75,5658.639251943122,5674.244933107271,5670.8467,5674.516958217461,5689.74
2023-04-26,5488.574000000001,5518.428744180987,5535.257727050897,5670.8467,5674.516958217461,5470.75
2023-04-27,5535.4845,5505.871587633072,5522.810128561573,5670.8467,5674.516958217461,5488.574000000001
2023-05-01,5823.057,5569.536513759729,5585.919594088516,5638.789,5654.936354492873,5535.4845
2023-05-02,5608.914500000001,5810.830810060925,5825.108657843544,5779.564,5672.82087375359,5823.057
2023-05-03,5587.7825,5648.963932758054,5664.654028668658,5724.81,5648.6779066070685,5608.914500000001
2023-05-04,5691.12,5603.64567950041,5619.731165866386,5670.8467,5674.516958217461,5587.7825
2023-05-08,5194.907999999999,5697.72206852727,5712.986761865639,5670.8467,5674.516958217461,5691.12
2023-05-09,5287.013000000001,5266.257248992089,5285.286365255225,5670.8467,5674.516958217461,5194.907999999999
2023-05-10,5412.7625,5305.182582168605,5323.872084609409,5795.2793,5686.666499007849,5287.013000000001
2023-05-11,5478.9075,5413.888791343817,5431.62985922552,5670.8467,5674.516958217461,5412.7625
2023-05-15,5738.1525,5548.236955647838,5564.805869308135,5670.8467,5674.516958217461,5478.9075
2023-05-16,5531.175,5714.555355099455,5729.67318221142,5670.8467,5674.516958217461,5738.1525
2023-05-17,5630.111999999999,5573.548168301647,5589.896247945233,5670.8467,5674.516958217461,5531.175
2023-05-19,5491.02,5634.266439984704,5650.084767853576,5670.8467,5674.516958217461,5630.111999999999
2023-05-22,5659.236000000001,5547.358478719213,5563.935056871583,5792.2495,5664.986900148239,5491.02
2023-05-23,5414.208,5645.107711533157,5660.831452012042,5793.7036,5695.786591303631,5659.236000000001
2023-05-24,5386.77,5473.066558607476,5490.291315231256,5793.7036,5695.786591303631,5414.208
2023-05-25,5204.498999999999,5421.166677997808,5438.844248133869,5795.2793,5694.872125597388,5386.77
2023-05-26,5097.160999999999,5277.0153300772345,5295.950584766425,5795.2793,5694.872125597388,5204.498999999999
2023-05-29,5083.92,5322.541022522245,5341.079076900897,5886.698,5762.884890875501,5097.160999999999
2023-05-30,5135.367499999999,5288.98037009122,5307.811232790878,5885.848,5871.04087638457,5083.92
2023-05-31,5025.996,5243.4567290883,5262.684774200176,6059.4375,6106.158892447208,5135.367499999999
2023-06-01,4973.898,5156.956459321732,5176.939197710475,6214.296,6253.017751170407,5025.996
2023-06-02,4716.671999999999,5104.423811837644,5124.86488447181,6225.9097,6253.622849336286,4973.898
2023-06-05,4623.401999999999,5142.663681397552,5162.771120708457,6212.9497,6223.2935458966185,4716.671999999999
2023-06-06,4625.691000000001,4801.0695657359975,4824.157328497948,6227.5005,6256.9688866300285,4623.401999999999
2023-06-07,4964.608,4878.1860360086985,4900.6009768036465,6474.7666,6458.9044574304635,4625.691000000001
2023-06-08,5152.136,5156.966607654241,5176.949257501315,6726.239,6681.41677518221,4964.608
2023-06-09,5378.400500000001,5323.759004271129,5342.286432062839,6754.663,6668.898688929581,5152.136
2023-06-13,5378.784000000001,5733.574938399673,5748.526824391636,6681.082,6671.239733530866,5378.400500000001
2023-06-14,5430.009,5512.3585299763445,5529.24047395102,6700.1665,6706.590481482592,5378.784000000001
2023-06-15,5343.597000000001,5565.391604671041,5581.81084829771,6699.2485,6697.9454802694045,5430.009
2023-06-16,5601.7,5488.5177263763535,5505.607675415528,6722.891,6803.2653592274655,5343.597000000001
2023-06-19,5625.898500000001,5783.108059067452,5797.627780937257,6594.005,6593.430598587828,5601.7
2023-06-20,5871.804,5706.525226960886,5721.713114937805,6666.303,6657.1183489415325,5625.898500000001
2023-06-21,6401.152000000001,5890.070655244112,5903.657155143296,6684.4233,6675.236510965886,5871.804
2023-06-22,6388.077000000001,6314.502943204947,6324.386377263139,6684.4233,6675.236510965886,6401.152000000001
2023-06-26,6131.818,6431.952854323962,6440.811567204644,6700.1665,6703.949774334667,6388.077000000001
2023-06-27,6188.148,6184.036248742963,6195.057972166393,6700.1665,6703.949774334667,6131.818
2023-06-28,6495.280499999999,6235.258324150816,6245.833147743278,6777.5303,6852.744809476019,6188.148
2023-06-29,6730.825499999999,6538.084874759448,6546.017612235672,6885.077,6804.21773848276,6495.280499999999
2023-06-30,6931.305499999999,6905.971337594387,6910.694357448907,7325.8296,7236.974611119035,6730.825499999999
2023-07-03,6764.0195,7136.062516105085,7138.778047821626,7283.813,7275.649538911831,6931.305499999999
2023-07-04,7109.176999999999,6879.039960754083,6883.997950153705,7490.935,7292.647231001978,6764.0195
2023-07-05,7570.3875,7169.185209118053,7171.611753600265,6912.561,6966.165963683998,7109.176999999999
2023-07-06,7557.331999999999,7548.748566795556,7547.863515661278,6794.8135,6924.59812769508,7570.3875
2023-07-07,7785.400000000001,7546.217562596897,7545.3545938429115,7135.378,7088.25509809259,7557.331999999999
2023-07-10,7405.491,7761.49178847433,7758.750605798114,7250.026,7242.461792996342,7785.400000000001
2023-07-11,7385.248,7444.952180114091,7444.972726562375,7240.676,7265.611117353518,7405.491
2023-07-13,7257.797499999999,7409.539333795421,7409.868848494365,7240.676,7265.611117353518,7385.248
2023-07-14,7370.258000000002,7409.487389554341,7409.817357453831,7289.1143,7282.77952020495,7257.797499999999
2023-07-17,7318.512000000002,7482.492452952332,7482.1854698842435,7643.556,7503.034656214534,7370.258000000002
2023-07-18,7143.533999999999,7319.747671710946,7320.8605962637175,7753.121,7866.153209625502,7318.512000000002
2023-07-19,7139.946000000001,7162.667229868998,7165.150642094297,7713.363,7820.396970373335,7143.533999999999
2023-07-20,7148.05,7176.245933623142,7178.610875045292,7671.397,7726.984415974769,7139.946000000001
2023-07-21,7276.069,7184.786437167047,7187.076864826141,7387.133,7429.46318620801,7148.05
2023-07-24,7658.895,7306.231738552081,7307.462586250214,7290.302,7321.0961190263,7276.069
2023-07-25,7534.69,7590.628421860412,7589.37797943731,7290.302,7313.080316888715,7658.895
2023-07-27,7810.015,7496.982508690707,7496.549103500737,7236.0,7261.282782003514,7534.69
2023-07-28,7992.305999999999,7737.84461357912,7735.309746605253,7198.975,7234.119201778476,7810.015
2023-07-31,8402.004,7837.429812977694,7834.0260899798595,7198.975,7234.119201778476,7992.305999999999
