h,folds,ARIMAX,ARIMAX_std,persistence,gain
1,3,0.9267006719749857,0.006516654499613374,0.891874301895553,0.03482637007943279
3,3,0.8361157401901824,0.04746771246780186,0.7894925940918119,0.04662314609837048
5,3,0.8018913232660472,0.036440987865827314,0.6870613627747733,0.11482996049127392
7,3,0.7370750089454638,0.05436050310112312,0.5259664686894063,0.21110854025605752
10,3,0.6878278368936609,0.0465228652511791,0.3949437591336955,0.2928840777599654
14,3,0.7004285388260701,0.03549144327118051,0.4170318176783745,0.28339672114769565
