구성,CV_R2,CV_std
pool+상태,0.520538939399479,0.23518890988428345
pool만,0.4724930812659436,0.2435497069223559
가스(pool)×평균CH4%,0.4329408470214745,0.1952828410522546
2인자 분해,0.31831777362616653,0.34482413844204984
상태만,0.04136640427603272,0.40537921660216947
