date,variable,flag,severity,value,detail
2020-08-08,투입량합계,고정값,심각,216.0,12일 연속 동일값 (~2020-08-19)
2020-08-20,투입량합계,고정값,심각,224.0,14일 연속 동일값 (~2020-09-02)
2020-10-09,투입량합계,고정값,심각,168.0,14일 연속 동일값 (~2020-10-22)
2020-11-27,투입량합계,고정값,심각,240.0,10일 연속 동일값 (~2020-12-06)
2020-12-31,소화조_온도,체제단절,심각,37.473333333333336,분기평균 z=-3.3 (직전4분기 39.2 → 37.47)
2021-01-11,투입량합계,고정값,심각,136.0,14일 연속 동일값 (~2021-01-24)
2021-02-02,소화조_온도,고정값,심각,38.0,15일 연속 동일값 (~2021-02-25)
2021-03-09,투입량합계,고정값,심각,168.0,14일 연속 동일값 (~2021-03-22)
2021-03-31,소화조_VFA,체제단절,심각,2570.9811320754716,분기평균 z=-3.1 (직전4분기 2742 → 2571)
2021-05-04,유입_CODcr,범위이탈,심각,267578.0,"가능범위 [5000, 250000]"
2021-05-11,소화조_온도,고정값,심각,38.0,16일 연속 동일값 (~2021-06-04)
2021-05-18,투입량합계,고정값,심각,168.0,18일 연속 동일값 (~2021-06-04)
2021-06-30,소화조_TAlk,체제단절,심각,17659.037037037036,분기평균 z=+3.0 (직전4분기 1.741e+04 → 1.766e+04)
2021-06-30,소화조_MAlk,체제단절,심각,15769.99,분기평균 z=+3.8 (직전4분기 1.55e+04 → 1.577e+04)
2021-06-30,소화조_CODcr,체제단절,심각,33646.194444444445,분기평균 z=+3.0 (직전4분기 2.643e+04 → 3.365e+04)
2021-07-11,투입량합계,고정값,심각,232.0,10일 연속 동일값 (~2021-07-20)
2021-08-03,투입량합계,고정값,심각,216.0,18일 연속 동일값 (~2021-08-20)
2021-08-04,소화조_온도,고정값,심각,38.4,10일 연속 동일값 (~2021-08-18)
2021-09-14,유입_CODcr,범위이탈,심각,254913.0,"가능범위 [5000, 250000]"
2021-09-30,소화조_TAlk,체제단절,심각,17915.824561403508,분기평균 z=+3.5 (직전4분기 1.75e+04 → 1.792e+04)
2021-09-30,소화조_TS,체제단절,심각,2.8729824561403507,분기평균 z=+3.4 (직전4분기 2.597 → 2.873)
2021-09-30,소화조_VFA,체제단절,심각,3025.157894736842,분기평균 z=+3.5 (직전4분기 2688 → 3025)
2021-11-13,투입량합계,고정값,심각,204.0,10일 연속 동일값 (~2021-11-22)
2021-12-27,소화조_온도,고정값,심각,38.0,14일 연속 동일값 (~2022-01-14)
2022-02-03,유입_CODcr,범위이탈,심각,253392.0,"가능범위 [5000, 250000]"
2022-03-08,소화조_온도,고정값,심각,38.05,11일 연속 동일값 (~2022-03-23)
2022-03-13,소화조_CODcr,범위이탈,심각,2758.5,"가능범위 [5000, 90000]"
2022-03-14,투입량합계,고정값,심각,144.0,16일 연속 동일값 (~2022-03-29)
2022-07-28,투입량합계,고정값,심각,240.0,15일 연속 동일값 (~2022-08-11)
2022-08-22,소화조_TAlk,범위이탈,심각,118314.5,"가능범위 [2000, 40000]"
2022-08-22,소화조_MAlk,범위이탈,심각,116235.265,"가능범위 [1000, 40000]"
2022-09-03,투입량합계,고정값,심각,192.0,15일 연속 동일값 (~2022-09-17)
2022-09-30,소화조_TAlk,체제단절,심각,19915.5,분기평균 z=+4.9 (직전4분기 1.764e+04 → 1.992e+04)
2022-09-30,소화조_MAlk,체제단절,심각,17932.493666666665,분기평균 z=+3.7 (직전4분기 1.555e+04 → 1.793e+04)
2022-11-03,투입량합계,고정값,심각,204.0,12일 연속 동일값 (~2022-11-14)
2022-12-17,투입량합계,고정값,심각,204.0,11일 연속 동일값 (~2022-12-27)
2023-01-15,투입량합계,고정값,심각,204.0,18일 연속 동일값 (~2023-02-01)
2023-02-05,투입량합계,고정값,심각,204.0,15일 연속 동일값 (~2023-02-19)
2023-03-03,투입량합계,고정값,심각,180.0,10일 연속 동일값 (~2023-03-12)
2023-03-16,투입량합계,고정값,심각,168.0,11일 연속 동일값 (~2023-03-26)
2023-05-02,투입량합계,고정값,심각,168.0,18일 연속 동일값 (~2023-05-19)
2023-06-07,소화조_TAlk,범위이탈,심각,1191.0,"가능범위 [2000, 40000]"
2023-06-07,소화조_MAlk,범위이탈,심각,345.39,"가능범위 [1000, 40000]"
2023-06-08,소화조_TAlk,범위이탈,심각,1304.5,"가능범위 [2000, 40000]"
2023-06-08,소화조_MAlk,범위이탈,심각,378.3050000000001,"가능범위 [1000, 40000]"
2023-06-09,소화조_TAlk,범위이탈,심각,1290.5,"가능범위 [2000, 40000]"
2023-06-09,소화조_MAlk,범위이탈,심각,374.245,"가능범위 [1000, 40000]"
2023-06-13,소화조_TAlk,범위이탈,심각,1409.0,"가능범위 [2000, 40000]"
2023-06-13,소화조_MAlk,범위이탈,심각,408.61,"가능범위 [1000, 40000]"
2023-06-14,소화조_TAlk,범위이탈,심각,1326.5,"가능범위 [2000, 40000]"
2023-06-14,소화조_MAlk,범위이탈,심각,384.6850000000001,"가능범위 [1000, 40000]"
2023-06-15,소화조_TAlk,범위이탈,심각,1259.5,"가능범위 [2000, 40000]"
2023-06-15,소화조_MAlk,범위이탈,심각,365.255,"가능범위 [1000, 40000]"
2023-06-19,투입량합계,고정값,심각,192.0,10일 연속 동일값 (~2023-06-28)
2023-06-30,소화조_VS,체제단절,심각,0.9874545454545455,분기평균 z=-4.5 (직전4분기 1.11 → 0.9875)
2023-06-30,소화조_VFA,체제단절,심각,2449.3454545454547,분기평균 z=-3.3 (직전4분기 2968 → 2449)
2023-06-30,소화조_CODcr,체제단절,심각,23697.727272727272,분기평균 z=-4.2 (직전4분기 2.885e+04 → 2.37e+04)
2023-09-06,투입량합계,고정값,심각,180.0,12일 연속 동일값 (~2023-09-17)
2023-09-30,소화조_VS,체제단절,심각,1.3174479166666666,분기평균 z=+3.7 (직전4분기 1.077 → 1.317)
2018-06-01,투입량합계,고정값,주의,216.0,5일 연속 동일값 (~2018-06-05)
2018-09-26,투입량합계,고정값,주의,216.0,5일 연속 동일값 (~2018-09-30)
2019-01-07,투입량합계,고정값,주의,216.0,6일 연속 동일값 (~2019-01-12)
2019-01-08,소화조_온도,고정값,주의,38.0,8일 연속 동일값 (~2019-01-18)
2019-01-15,투입량합계,고정값,주의,216.0,7일 연속 동일값 (~2019-01-21)
2019-01-30,투입량합계,고정값,주의,192.0,6일 연속 동일값 (~2019-02-04)
2019-02-07,투입량합계,고정값,주의,168.0,6일 연속 동일값 (~2019-02-12)
2019-02-27,투입량합계,고정값,주의,192.0,5일 연속 동일값 (~2019-03-03)
2019-03-13,투입량합계,고정값,주의,120.0,5일 연속 동일값 (~2019-03-17)
2019-03-28,투입량합계,고정값,주의,192.0,7일 연속 동일값 (~2019-04-03)
2019-05-02,소화조_온도,고정값,주의,38.01666666666667,6일 연속 동일값 (~2019-05-09)
