target,variant,h,R2,persistence,n
biogas,유량pool,1,0.9270309887526254,0.9224692524895667,243
biogas,유량pool,3,0.7580396036853257,0.7342110076983102,243
biogas,유량pool,7,0.4849667009739812,0.4440430686633231,243
biogas,유량pool,14,-0.0022381142332630333,0.1149525032479829,243
biogas,유량pool+VSin,1,0.6910179186287901,0.9224692524895667,243
biogas,유량pool+VSin,3,0.16155107421763082,0.7342110076983102,243
biogas,유량pool+VSin,7,-0.4300243880906436,0.4440430686633231,243
biogas,유량pool+VSin,14,-0.7729654036687472,0.1149525032479829,243
biogas,부하pool,1,0.9091018332983394,0.9224692524895667,243
biogas,부하pool,3,0.6263505637707223,0.7342110076983102,243
biogas,부하pool,7,0.01981667849600599,0.4440430686633231,243
biogas,부하pool,14,-1.0213741478895892,0.1149525032479829,243
biogas,부하pool+유량pool,1,0.9222785682693979,0.9224692524895667,243
biogas,부하pool+유량pool,3,0.7228866766871581,0.7342110076983102,243
biogas,부하pool+유량pool,7,0.31875055825100573,0.4440430686633231,243
biogas,부하pool+유량pool,14,-0.5389999041146818,0.1149525032479829,243
biogas,유량pool+이화학,1,0.8846684091515495,0.9224692524895667,243
biogas,유량pool+이화학,3,0.4588471442025601,0.7342110076983102,243
biogas,유량pool+이화학,7,-0.7077798541168889,0.4440430686633231,243
biogas,유량pool+이화학,14,-3.2867096650706147,0.1149525032479829,243
biogas,부하pool+이화학,1,0.8388350213525881,0.9224692524895667,243
biogas,부하pool+이화학,3,0.23937561535734142,0.7342110076983102,243
biogas,부하pool+이화학,7,-1.2972298659299946,0.4440430686633231,243
biogas,부하pool+이화학,14,-4.271713828161142,0.1149525032479829,243
biogas,유량pool+VSin+VFAALK,1,0.6204748426410102,0.9224692524895667,243
biogas,유량pool+VSin+VFAALK,3,-0.22153065749023448,0.7342110076983102,243
biogas,유량pool+VSin+VFAALK,7,-1.56268935914149,0.4440430686633231,243
biogas,유량pool+VSin+VFAALK,14,-2.6855280161494948,0.1149525032479829,243
methane,유량pool,1,0.9068975471250221,0.8988987309704498,151
methane,유량pool,3,0.7571209969886004,0.6956639279301453,151
methane,유량pool,7,0.4884543074972424,0.44987005941441705,153
methane,유량pool,14,-0.09440096722734359,0.07671495465539546,157
methane,유량pool+VSin,1,0.7717867003174709,0.8988987309704498,151
methane,유량pool+VSin,3,0.3197818557965816,0.6956639279301453,151
methane,유량pool+VSin,7,-0.4067945239415225,0.44987005941441705,153
methane,유량pool+VSin,14,-1.369374831146259,0.07671495465539546,157
methane,부하pool,1,0.8742796977513634,0.8988987309704498,151
methane,부하pool,3,0.5408858558139187,0.6956639279301453,151
methane,부하pool,7,-0.0063507300938576705,0.44987005941441705,153
methane,부하pool,14,-1.2640371046375893,0.07671495465539546,157
methane,부하pool+유량pool,1,0.8968259201374168,0.8988987309704498,151
methane,부하pool+유량pool,3,0.6769233108193464,0.6956639279301453,151
methane,부하pool+유량pool,7,0.2817619735459632,0.44987005941441705,153
methane,부하pool+유량pool,14,-0.6890851092812269,0.07671495465539546,157
methane,유량pool+이화학,1,0.8277995669839152,0.8988987309704498,151
methane,유량pool+이화학,3,0.3499292497458508,0.6956639279301453,151
methane,유량pool+이화학,7,-0.34261913215597106,0.44987005941441705,153
methane,유량pool+이화학,14,-2.2426471081516914,0.07671495465539546,157
methane,부하pool+이화학,1,0.718128192723846,0.8988987309704498,151
methane,부하pool+이화학,3,-0.12746035851964677,0.6956639279301453,151
methane,부하pool+이화학,7,-1.584348598571947,0.44987005941441705,153
methane,부하pool+이화학,14,-5.103763061362594,0.07671495465539546,157
methane,유량pool+VSin+VFAALK,1,0.8239932851690326,0.8988987309704498,151
methane,유량pool+VSin+VFAALK,3,0.4231233399429598,0.6956639279301453,151
methane,유량pool+VSin+VFAALK,7,-0.2154157005831796,0.44987005941441705,153
methane,유량pool+VSin+VFAALK,14,-1.1852985091780903,0.07671495465539546,157
