origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_FlowConc,pred_Naive,pred_SeasonalNaive,pred_FlowAnchor,pred_Stack
730,61,0,7235.4125,6776.9878722648045,5917.906657755609,6305.414804899819,7742.71533203125,7070.92578125,6966.292236325723,6807.94664953397,9444.4905,8138.304583333333,9444.4905,6800.7900260155475
730,62,0,7029.0805,6630.660180663663,5859.957892879023,6149.872808760705,7743.1455078125,7073.38037109375,6966.489623761906,6738.125725414763,9444.4905,8138.304583333333,9444.4905,6683.732157633938
730,63,0,6806.016,6648.738472409477,5676.660376597276,6124.217523625784,7743.57568359375,7075.8349609375,6966.689268396602,6843.1675633071045,9444.4905,8138.304583333333,9444.4905,6712.115901415755
730,64,0,7011.876,6528.209304459629,5571.507770039237,6093.040203778156,7744.005859375,7078.2900390625,7003.098101454124,6955.728542063703,9444.4905,8138.304583333333,9444.4905,6742.6572536510375
730,65,0,6753.555,6428.679198177327,5467.81550889638,6116.2585068922435,7744.4365234375,7080.74462890625,7046.175519319565,6739.756998509783,9444.4905,8138.304583333333,9444.4905,6670.166128337287
730,68,0,4958.3115,6188.557062586394,5258.013285912256,6198.340873761166,7745.72705078125,7088.10888671875,7180.640034544423,6756.540010751265,9444.4905,8138.304583333333,9444.4905,6731.99750070883
730,69,0,4851.1815,5821.00120134552,5179.479027890431,6116.733190637621,7746.1572265625,7090.5634765625,7040.3778029853065,6574.502684339224,9444.4905,8138.304583333333,9444.4905,6602.478589110378
730,70,0,4280.574,5897.000729610922,5104.153107687056,6113.937306066938,7746.58740234375,7093.01806640625,7035.559282691692,6720.275973562129,9444.4905,8138.304583333333,9444.4905,6660.224047514335
730,71,0,4143.917,5717.271890399828,5035.078720398366,6142.592544617201,7747.017578125,7095.47265625,7033.013738502252,6568.692617460753,9444.4905,8138.304583333333,9444.4905,6614.364268697929
730,72,0,4518.925,5691.365621970547,5034.267468052138,6063.683037331397,7747.4482421875,7097.927734375,7015.073024670735,6654.135805247481,9444.4905,8138.304583333333,9444.4905,6603.313320474976
730,75,0,6494.6275,6027.301087138797,5084.456811129518,5863.268039274894,7748.73876953125,7105.2919921875,7019.221425573632,6792.682781813882,9444.4905,8138.304583333333,9444.4905,6546.202362461574
730,76,0,6852.976,5956.790613010572,5106.562350136464,5889.18451391213,7749.1689453125,7107.74658203125,7017.108487422352,6826.5490979884335,9444.4905,8138.304583333333,9444.4905,6574.673714012967
730,77,0,6932.655,5974.307476378685,5178.285917310073,5868.976546843737,7749.59912109375,7110.201171875,7024.79405484721,6647.979027034051,9444.4905,8138.304583333333,9444.4905,6490.598108396991
730,78,0,7238.036,5944.437295964636,5117.638110781306,5851.532658095414,7750.029296875,7112.65576171875,7033.4016928832025,6491.697050103952,9444.4905,8138.304583333333,9444.4905,6417.269498761441
730,79,0,6908.03,5913.520843188897,5111.175096013988,5803.994633053746,7750.4599609375,7115.11083984375,7032.8085297760745,6505.675658888707,9444.4905,8138.304583333333,9444.4905,6395.900857355454
730,82,0,5738.401,6010.796993270984,4849.0566820870035,5628.040117219644,7751.75048828125,7122.474609375,7059.14617677804,6310.264269357876,9444.4905,8138.304583333333,9444.4905,6217.457124592842
730,83,0,5424.2045,5911.846630110605,4831.814736038391,5507.550271945876,7752.1806640625,7124.9296875,7027.4472500104985,5387.2620659441,9444.4905,8138.304583333333,9444.4905,5769.370009695835
730,84,0,5603.0175,5909.166468425062,4840.841759663841,5556.614489509711,7752.61083984375,7127.38427734375,7021.792239494173,5216.8281416596665,9444.4905,8138.304583333333,9444.4905,5727.221243259466
730,85,0,5391.4,5957.565628780814,4881.094397081005,5529.754356186442,7753.041015625,7129.8388671875,7026.974673564601,5300.873426801802,9444.4905,8138.304583333333,9444.4905,5746.636243543755
730,86,0,5426.0215,6009.998334905437,4871.880739472673,5404.494073594454,7753.47119140625,7132.2939453125,7017.459564038213,5327.405653693261,9444.4905,8138.304583333333,9444.4905,5685.628782800626
730,89,0,5688.9,5965.637628755176,4755.90169760035,5133.015648799842,7754.76220703125,7139.658203125,7000.725008607266,5299.940664939935,9444.4905,8138.304583333333,9444.4905,5518.886567256453
731,60,0,7235.4125,6098.375195964025,6029.31541834688,6561.800525434436,7726.755859375,7165.095703125,6932.1785501934855,7060.881054278946,9478.6615,8213.820466666666,9478.6615,7048.055149616537
