origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_FlowConc,pred_Naive,pred_SeasonalNaive,pred_FlowAnchor,pred_Stack
730,14,0,8675.014,8040.289456387332,8009.698935765377,5759.301523649213,8306.1396484375,6782.10302734375,8548.20455006143,5823.127049843341,9444.4905,8138.304583333333,9444.4905,7664.783599334865
730,15,0,8754.153,7965.372588008438,7824.7285831959325,5683.128816697826,8306.1396484375,6781.525390625,8548.619633350365,5830.34139645644,9444.4905,8138.304583333333,9444.4905,7600.722527612682
730,16,0,8472.7965,6833.132358274854,7781.289845502481,5365.75589535854,8306.1396484375,6780.947265625,8552.786141813214,5489.6840480262235,9444.4905,8138.304583333333,9444.4905,7343.542974211776
730,20,0,8299.7225,6531.334065553163,7724.268041620384,4953.840274630078,8306.1396484375,6778.6357421875,8680.193803597487,5802.049957838459,9444.4905,8138.304583333333,9444.4905,7308.203415768659
730,21,0,8572.7025,6324.932622633465,7644.765537026138,4900.1925353523,8306.1396484375,6778.05859375,8697.190497472593,5711.563895809855,9444.4905,8138.304583333333,9444.4905,7238.233497792401
730,22,0,8567.1,6020.4789685290925,7550.904571793002,4884.092225037817,8306.1396484375,6777.48095703125,8697.717298759035,5682.095273848687,9444.4905,8138.304583333333,9444.4905,7153.386396432255
730,27,0,7835.3145,5328.542642971687,7165.03140485203,4944.122173751037,8306.1396484375,6774.591796875,8926.38703535293,4986.3937623754955,9444.4905,8138.304583333333,9444.4905,6840.965829868073
730,28,0,8088.604,5319.977275249553,7120.265024821277,4980.512097329659,8306.1396484375,6774.013671875,8935.540353093033,5008.761518402788,9444.4905,8138.304583333333,9444.4905,6829.5175327385505
730,29,0,8533.4535,5361.772717487265,7114.989300389729,4979.323809706642,8306.1396484375,6773.435546875,8957.843779760313,4680.573607003865,9444.4905,8138.304583333333,9444.4905,6798.194589694631
730,30,0,8599.183,5362.921696563995,7068.794059465125,4968.216953329905,8306.1396484375,6772.85791015625,8958.130859833154,4762.37144484017,9444.4905,8138.304583333333,9444.4905,6794.897911283393
731,14,0,8754.153,7613.898630588691,7735.9575591129615,5562.214012395237,8342.958984375,6071.1376953125,8574.138807071722,6235.759276666624,9478.6615,8213.820466666666,9478.6615,7516.367495838864
731,15,0,8472.7965,7593.535739827914,7608.782458758794,5508.451855456003,8342.958984375,6070.5595703125,8603.642327495085,6239.614795766421,9478.6615,8213.820466666666,9478.6615,7477.854649739854
731,19,0,8299.7225,6210.48242448676,7407.7221311311605,5034.586178748486,8342.958984375,6068.248046875,8686.723212498862,5771.8995819109805,9478.6615,8213.820466666666,9478.6615,7116.725079385844
