origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_Naive,pred_SeasonalNaive,pred_Stack
1970,1,10,5097.161,5449.068815576893,5289.903162185619,5321.155759690973,5174.1240234375,5207.72998046875,5360.337542843938,5204.499,5531.0413708333335,5257.346002630189
1971,3,10,5083.92,5361.146801196334,5173.049357195934,5253.110354864582,5099.94921875,5195.228515625,5439.658620776881,5097.161,5517.994270833334,5210.9881295804735
1972,2,10,5083.92,5245.345296746021,5039.535710604564,5044.101841430557,4976.41845703125,5058.619140625,5399.314374078656,5097.161,5500.383365277778,5030.701616908908
1972,3,10,5135.3675,5266.190149790269,5053.711274262301,5096.021823243056,4976.3916015625,5057.5166015625,5400.868070341059,5097.161,5500.383365277778,5061.967682946373
1973,1,10,5083.92,5287.64154442557,5052.7664727201345,5094.53975019792,4975.55224609375,5142.30078125,5254.3135034174275,5097.161,5485.628113888889,5093.776357261725
1973,2,10,5135.3675,5411.205786273404,5078.940781214778,5115.451263052083,4975.525390625,5141.1982421875,5256.307505446786,5097.161,5485.628113888889,5106.115143338273
1973,3,10,5025.996,5437.545950396045,5095.249004089779,5155.181947371528,4975.49853515625,5140.09521484375,5301.412899309352,5097.161,5485.628113888889,5129.940787584227
1974,1,10,5135.3675,5287.920219780949,5077.651705464035,5197.940864246528,4961.48193359375,5028.9072265625,5216.889567761205,5083.92,5469.601522222222,5113.139408716537
1974,2,10,5025.996,5372.373318133821,5093.259289517904,5235.736193437498,4961.455078125,5027.8046875,5185.8246811122735,5083.92,5469.601522222222,5135.783918659839
1974,3,10,4973.898,5402.2184369131155,5117.305742599155,5247.89719067361,4961.42822265625,5026.70166015625,5266.255895767848,5083.92,5469.601522222222,5142.781283297334
1975,1,10,5025.996,5456.716337285098,5203.531184658727,5226.913729739582,5019.556640625,5054.08203125,5221.750671386413,5135.3675,5456.559834722223,5140.5376783759375
