origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_FlowConc,pred_Naive,pred_SeasonalNaive,pred_FlowAnchor,pred_Stack
730,5,0,9166.597,6303.348492581448,6063.439422307938,6558.013249016205,7155.98046875,7754.90576171875,7517.892187638191,6683.101712922187,9444.4905,8138.304583333333,9444.4905,6836.358651878409
730,6,0,8918.863,6420.39683094663,5993.58275666905,6400.025159745372,7156.375,7754.84130859375,7537.678678778559,6717.04003263312,9444.4905,8138.304583333333,9444.4905,6805.431189684439
730,7,0,9114.864,6358.909903164516,5920.390814979003,6289.115934293982,7156.76953125,7754.77734375,7763.796883944,6700.358736565043,9444.4905,8138.304583333333,9444.4905,6796.005208405249
731,5,0,8918.863,6761.165269226362,5955.9779461472235,6157.800633432873,6905.189453125,7627.4560546875,7228.286708148206,6930.269565248126,9478.6615,8213.820466666666,9478.6615,6739.057632869884
731,6,0,9114.864,6842.457404797117,5904.006538716669,5979.120159398149,6905.583984375,7627.39208984375,7340.130956306417,6976.037188983413,9478.6615,8213.820466666666,9478.6615,6716.981830719398
731,7,0,9073.308,6845.541779355041,5868.3524908982145,5884.457059745372,6905.97900390625,7627.32763671875,7328.371327399692,7057.082064494535,9478.6615,8213.820466666666,9478.6615,6711.563290680782
732,5,0,9114.864,6720.154002984232,5541.062827042525,5892.393166335649,7448.7275390625,8065.7900390625,7795.940861162752,5500.521268906399,8828.623,8246.467933333333,8828.623,6392.451941679048
732,6,0,9073.308,6850.9516644358655,5460.270227339748,5907.989596208334,7449.1220703125,8065.7255859375,7814.689803243033,5461.753141693896,8828.623,8246.467933333333,8828.623,6391.98956632317
732,7,0,9133.984,6753.718736989244,5400.913723289978,5851.2355324097225,7449.5166015625,8065.6611328125,7790.696585159826,5526.500971610578,8828.623,8246.467933333333,8828.623,6388.24698248861
733,5,0,9073.308,6960.103338347662,6436.392859566308,6479.661817798612,7643.9658203125,8329.087890625,8012.041326566171,5998.227653826542,8828.623,8243.38765,7750.499,6811.978467761641
733,6,0,9133.984,7010.948371665989,6371.48801191889,6366.269366824077,7644.3603515625,8329.0234375,8083.6954569047375,5994.616162640986,8828.623,8243.38765,7750.499,6788.119391718554
734,5,0,9133.984,6854.702763172884,6544.169371313924,6665.08253277546,7870.28173828125,8746.2939453125,7977.723197133823,5865.342523295834,8828.623,8297.844783333334,9528.481000000002,6906.03282873948
735,7,0,8013.87,7469.637777595678,6851.132809833,6686.1045849421325,8103.7978515625,8914.71484375,8353.571587041828,6259.079829519207,9166.597,8333.683716666666,9166.597,7137.360444450716
736,6,0,8013.87,7928.006903385289,7147.969490810317,7104.415443391207,8721.2373046875,10346.978515625,8330.487559505997,8121.762343236137,8918.863,8334.863650000001,8918.863,8136.967161217732
736,7,0,8370.716,7957.8223511706565,7061.099409858598,7077.31926366667,8721.6318359375,10346.9140625,8351.309913060162,8086.936419396064,8918.863,8334.863650000001,8918.863,8121.999465400374
737,5,0,8013.87,7587.324021800998,7172.939859482409,7238.784169314816,8877.533203125,10842.216796875,8274.815995402316,8320.342897483706,9114.864,8354.6468,9114.864,8322.246229737488
737,6,0,8370.716,7611.631758288287,7091.487586751388,7206.960084002319,8877.927734375,10842.1533203125,8267.31889751834,8315.710390032915,9114.864,8354.6468,9114.864,8310.975227060553
737,7,0,8675.014,7627.271837541627,7016.496336301652,7189.753546027781,8878.322265625,10842.0888671875,8242.392828155704,8239.421968509943,9114.864,8354.6468,9114.864,8279.695782942228
738,5,0,8370.716,7609.508123365324,7062.341822789613,7195.083391305555,8713.86328125,10757.931640625,8338.162386300855,7977.068284965742,9073.308,8369.2799,9073.308,8196.749165526478
738,6,0,8675.014,7634.185280751833,6938.787316624732,7155.310316641205,8714.2578125,10757.8671875,8334.481623106805,7972.466268982118,9073.308,8369.2799,9073.308,8183.6281379577285
738,7,0,8754.153,7630.170376997327,6895.653121437565,7113.870264986114,8714.65234375,10757.802734375,8324.271901231434,7923.18003347084,9073.308,8369.2799,9073.308,8154.655441428058
739,5,0,8675.014,7729.571749917672,7451.658890640244,7641.195504094908,8370.8603515625,10068.154296875,8283.753975678268,8110.938628781966,9133.984,8380.66125,9133.984,8224.868799242064
739,6,0,8754.153,7754.248907304181,7360.513923944806,7610.461455495371,8371.2548828125,10068.08984375,8271.331521405493,8106.301962400259,9133.984,8380.66125,9133.984,8213.261841586416
739,7,0,8472.7965,7715.05431524366,7286.22259337999,7571.791482458336,8371.6494140625,10068.025390625,8256.089426617042,8028.791573205738,9133.984,8380.66125,9133.984,8174.773737871708
740,5,0,8754.153,7425.427898539204,7189.91084815625,7558.117688599536,8150.490234375,9741.7119140625,8205.424659415941,7962.791043669551,9133.984,8401.627316666667,9586.832,8067.003359779168
740,6,0,8472.7965,7425.828312826466,7098.458623054067,7516.633782997686,8150.884765625,9741.6474609375,8191.368390832553,7923.977378004032,9133.984,8401.627316666667,9586.832,8040.807452059053
741,5,0,8472.7965,7595.841469562017,7220.57007196511,7610.627010300923,8075.1279296875,9768.5576171875,8184.342590373108,8078.26080666198,9133.984,8399.231749999999,9454.032000000001,8125.838866461603
743,7,0,8299.7225,7840.265230377634,7402.753029323416,7575.601894453701,7851.71337890625,10182.6845703125,7964.008118577079,7990.738405535918,8370.716,8326.127316666667,8370.716,8152.066161820245
744,6,0,8299.7225,8124.006993915428,7545.241626917826,7509.4376328587905,7700.04541015625,9647.90234375,8029.543744619828,8227.590022567276,8675.014,8304.575283333334,8675.014,8110.891202700372
744,7,0,8572.7025,8152.697116029601,7437.588690706185,7491.489985780093,7700.43994140625,9647.837890625,8010.44440962754,8156.115971214034,8675.014,8304.575283333334,8675.014,8082.052769632355
745,5,0,8299.7225,8165.439728101401,7738.742331086971,7609.399279560183,7714.19091796875,9735.65625,7557.931980090137,8323.647637019338,8754.153,8273.465383333332,8754.153,8125.090127582262
745,6,0,8572.7025,8210.069344278016,7703.633464559193,7587.773110983797,7714.5859375,9735.591796875,7552.424535430273,8323.647637019338,8754.153,8273.465383333332,8754.153,8119.198212177092
