origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_FlowConc,pred_Naive,pred_SeasonalNaive,pred_FlowAnchor,pred_Stack
730,5,0,9166.597,6286.913248897859,5273.960384029615,6975.851830347222,8088.1240234375,7024.66015625,7898.938968109835,5477.054748063367,9444.4905,8138.304583333333,9444.4905,4981.586250927594
731,4,0,9166.597,6615.877256119056,5998.609347513637,6339.106356194439,8160.71142578125,6100.48583984375,7983.1871332612845,5608.116141641379,9478.6615,8213.820466666666,9478.6615,5014.415748679336
731,5,0,8918.863,6578.698848356338,5829.334835471576,6148.445264854165,8160.71142578125,6101.02783203125,7848.717598005646,5639.091649199109,9478.6615,8213.820466666666,9478.6615,4808.705582270628
732,3,0,9166.597,6026.677190515117,5829.178626903602,6168.3000678425915,8122.47998046875,5024.736328125,7510.409892236423,5948.572826281572,8828.623,8246.467933333333,8828.623,5079.97107824275
732,4,0,8918.863,6029.630410440066,5615.790897142027,6080.239782687498,8122.47998046875,5025.2783203125,7656.715997595953,5998.031127364042,8828.623,8246.467933333333,8828.623,4914.315051737554
732,5,0,9114.864,6021.160613081956,5435.638239343417,5801.242205638889,8122.47998046875,5025.82080078125,7664.606417154088,5997.877915477014,8828.623,8246.467933333333,8828.623,4644.214096850763
733,3,0,8918.863,5968.7188632396765,6000.360557898477,6358.325081351849,8161.4638671875,5121.419921875,7891.595083843832,6019.527510909223,8828.623,8243.38765,7750.499,5736.8591997684
733,4,0,9114.864,6003.3611836581285,5858.854379650793,6320.008006733796,8161.4638671875,5121.9619140625,7900.591585046199,6005.077853536642,8828.623,8243.38765,7750.499,5631.733411647145
733,5,0,9073.308,6010.462464087576,5783.6871507123005,6192.106346122683,8161.4638671875,5122.50390625,7888.173364744629,5997.26699445941,8828.623,8243.38765,7750.499,5510.876550033363
734,3,0,9114.864,5486.8483138672655,6243.397919514221,6143.080024361112,8132.65478515625,5641.8017578125,7510.826250471108,5453.334224707322,8828.623,8297.844783333334,9528.481000000002,4938.3474266839385
734,4,0,9073.308,5484.631618046149,6168.066822544315,6060.114547034723,8132.65478515625,5642.34375,7350.177948770894,5446.719837324418,8828.623,8297.844783333334,9528.481000000002,4844.7417261411065
734,5,0,9133.984,5510.086815623952,6121.425617968918,6014.413460416665,8132.65478515625,5642.88623046875,7316.216054196996,5438.935430279135,8828.623,8297.844783333334,9528.481000000002,4789.632134668025
