origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_FlowConc,pred_Naive,pred_SeasonalNaive,pred_FlowAnchor,pred_Stack
730,7,0,9114.864,7915.511299074468,7911.897447395288,8237.19247762386,8359.541015625,11604.677734375,7796.761539446695,6504.2824021709475,9444.4905,8138.304583333333,9444.4905,7369.935934036221
730,8,0,9073.308,7833.74849862593,7914.003324686954,8311.597146646676,8359.541015625,11603.158203125,7841.167513005893,6188.2826593571635,9444.4905,8138.304583333333,9444.4905,7357.706289540843
730,9,0,9133.984,7553.400385109271,8060.827152765692,8188.402563561029,8359.541015625,11601.6376953125,7807.9095364561745,6015.869086749125,9444.4905,8138.304583333333,9444.4905,7447.282386286605
730,12,0,8013.87,6755.953408872642,7344.396261053424,8149.915530655935,8359.541015625,11597.0771484375,8115.579707306148,4904.937119638972,9444.4905,8138.304583333333,9444.4905,6633.763781660127
730,13,0,8370.716,5962.810087359035,6968.477371747369,8032.639566926769,8359.541015625,11595.5576171875,8074.633012859056,4358.779302911785,9444.4905,8138.304583333333,9444.4905,6141.762595988535
730,14,0,8675.014,6035.725518344692,7008.936721618104,8018.133825231993,8359.541015625,11594.037109375,8015.424022751443,4070.6677418848512,9444.4905,8138.304583333333,9444.4905,6192.551553845805
731,7,0,9073.308,8527.985704919596,8007.878348109234,8188.394679187417,8219.2744140625,10954.4462890625,7884.142245980526,6612.996340708694,9478.6615,8213.820466666666,9478.6615,7574.418073581048
731,8,0,9133.984,8325.143469437919,7980.301437456456,8205.880130038608,8219.2744140625,10952.92578125,7849.055659675794,6422.067009997969,9478.6615,8213.820466666666,9478.6615,7513.178513196733
731,11,0,8013.87,7679.108082778239,7533.069190123156,7899.688742525876,8219.2744140625,10948.365234375,7709.29976113364,5949.116427214392,9478.6615,8213.820466666666,9478.6615,6979.571528525752
731,12,0,8370.716,7791.573486038638,7276.627228773651,7847.166132456431,8219.2744140625,10946.845703125,7740.871287193345,6080.157656605934,9478.6615,8213.820466666666,9478.6615,6757.548627984438
731,13,0,8675.014,6859.051158036951,7140.880566685357,7698.301946581432,8219.2744140625,10945.3251953125,7774.811219758174,5581.315275071221,9478.6615,8213.820466666666,9478.6615,6467.565331958927
731,14,0,8754.153,6921.544594888517,7136.461523827718,7680.174742783482,8219.2744140625,10943.8046875,7807.198538665718,5166.9434215446345,9478.6615,8213.820466666666,9478.6615,6474.266193053032
732,7,0,9133.984,8238.797651206443,7787.849024361482,7637.1713114689155,8369.1787109375,11320.103515625,8050.127500889245,6518.9259618745755,8828.623,8246.467933333333,8828.623,7582.96980997572
732,10,0,8013.87,7567.5013999865005,7147.552964046999,7228.3380194447755,8369.1787109375,11315.54296875,8116.53011307084,6340.324696902536,8828.623,8246.467933333333,8828.623,6863.101477292603
732,11,0,8370.716,7144.833624707465,7012.956104103185,7072.339996097552,8369.1787109375,11314.0224609375,8221.842458471416,6427.642191586803,8828.623,8246.467933333333,8828.623,6662.8330546811085
732,12,0,8675.014,7217.744070913811,6815.859378075671,7060.315029624173,8369.1787109375,11312.501953125,8278.968911907608,6648.779941938958,8828.623,8246.467933333333,8828.623,6489.838455045985
732,13,0,8754.153,6800.506503283837,6838.197749237378,6959.625332833664,8369.1787109375,11310.9814453125,8302.690665343138,6123.800107445473,8828.623,8246.467933333333,8828.623,6438.350208302082
732,14,0,8472.7965,6885.43552602938,6813.499000193726,6840.917847096231,8369.1787109375,11309.4609375,8275.988648022512,5688.500497966341,8828.623,8246.467933333333,8828.623,6429.847312204789
733,9,0,8013.87,6514.568623378445,6724.120578276165,6655.180306323826,8432.990234375,11531.5390625,8158.620240367953,6492.56984279969,8828.623,8243.38765,7750.499,6706.52143456399
733,10,0,8370.716,6400.915991519176,6563.889391915741,6657.386697923363,8432.990234375,11530.01953125,8203.534353084722,6134.167183744575,8828.623,8243.38765,7750.499,6535.823307841509
733,11,0,8675.014,6408.596890799799,6484.388513272388,6568.340564395585,8432.990234375,11528.4990234375,8202.435994059222,6241.6678195374425,8828.623,8243.38765,7750.499,6462.267077962624
733,12,0,8754.153,6500.743900371124,6451.053104374504,6578.072185827298,8432.990234375,11526.978515625,8193.292826828087,6585.242213641563,8828.623,8243.38765,7750.499,6446.883026624343
